period,model,ticker,adjusted_r2,selected_coefficients
1,OLS,F,0.540874,9
1,OLS,CAT,0.744815,9
1,OLS,DIS,0.747842,9
1,OLS,MCD,0.380243,9
1,OLS,KO,0.334030,9
1,OLS,PEP,0.307422,9
1,OLS,WMT,0.475983,9
1,OLS,C,0.747418,9
1,OLS,WFC,0.730752,9
1,OLS,JPM,0.753100,9
1,OLS,AAPL,0.512970,9
1,OLS,IBM,0.433168,9
1,OLS,PFE,0.455596,9
1,OLS,JNJ,0.408291,9
1,OLS,XOM,0.568077,9
1,OLS,MRO,0.538073,9
1,OLS,ED,0.062806,9
1,OLS,T,0.410642,9
1,OLS,VZ,0.440139,9
1,OLS,NEM,0.001558,9
1,FF,F,0.301668,4
1,FF,CAT,0.693907,4
1,FF,DIS,0.755690,4
1,FF,MCD,0.285693,4
1,FF,KO,0.362615,4
1,FF,PEP,0.318456,4
1,FF,WMT,0.266021,4
1,FF,C,0.718249,4
1,FF,WFC,0.667362,4
1,FF,JPM,0.656142,4
1,FF,AAPL,0.470523,4
1,FF,IBM,0.412129,4
1,FF,PFE,0.472628,4
1,FF,JNJ,0.444097,4
1,FF,XOM,0.438671,4
1,FF,MRO,0.540208,4
1,FF,ED,0.135647,4
1,FF,T,0.333161,4
1,FF,VZ,0.361025,4
1,FF,NEM,0.082319,4
1,LASSO,F,0.518342,6
1,LASSO,CAT,0.700189,2
1,LASSO,DIS,0.732879,4
1,LASSO,MCD,0.211001,2
1,LASSO,KO,0.287544,2
1,LASSO,PEP,0.303305,3
1,LASSO,WMT,0.148492,4
1,LASSO,C,0.687087,7
1,LASSO,WFC,0.717440,4
1,LASSO,JPM,0.718030,6
1,LASSO,AAPL,0.428809,9
1,LASSO,IBM,0.400937,4
1,LASSO,PFE,0.318667,7
1,LASSO,JNJ,0.431992,2
1,LASSO,XOM,0.300375,4
1,LASSO,MRO,0.460349,9
1,LASSO,ED,0.113104,2
1,LASSO,T,0.199927,9
1,LASSO,VZ,0.322044,3
1,LASSO,NEM,0.032751,5
1,BSS,F,0.565853,4
1,BSS,CAT,0.764222,4
1,BSS,DIS,0.767982,4
1,BSS,MCD,0.324016,4
1,BSS,KO,0.401859,4
1,BSS,PEP,0.371532,4
1,BSS,WMT,0.456926,4
1,BSS,C,0.754297,4
1,BSS,WFC,0.745242,4
1,BSS,JPM,0.734463,4
1,BSS,AAPL,0.536777,4
1,BSS,IBM,0.470725,4
1,BSS,PFE,0.483735,4
1,BSS,JNJ,0.451323,4
1,BSS,XOM,0.572727,4
1,BSS,MRO,0.575326,4
1,BSS,ED,0.142785,4
1,BSS,T,0.439743,4
1,BSS,VZ,0.455456,4
1,BSS,NEM,0.108350,4
2,OLS,F,0.704431,9
2,OLS,CAT,0.751546,9
2,OLS,DIS,0.709905,9
2,OLS,MCD,0.382381,9
2,OLS,KO,0.389183,9
2,OLS,PEP,0.275422,9
2,OLS,WMT,0.255554,9
2,OLS,C,0.759691,9
2,OLS,WFC,0.760296,9
2,OLS,JPM,0.791851,9
2,OLS,AAPL,0.469820,9
2,OLS,IBM,0.359692,9
2,OLS,PFE,0.535829,9
2,OLS,JNJ,0.407544,9
2,OLS,XOM,0.612610,9
2,OLS,MRO,0.539671,9
2,OLS,ED,0.090474,9
2,OLS,T,0.397551,9
2,OLS,VZ,0.358749,9
2,OLS,NEM,-0.018109,9
2,FF,F,0.356974,4
2,FF,CAT,0.697474,4
2,FF,DIS,0.700281,4
2,FF,MCD,0.236442,4
2,FF,KO,0.322448,4
2,FF,PEP,0.217469,4
2,FF,WMT,0.131590,4
2,FF,C,0.688174,4
2,FF,WFC,0.675614,4
2,FF,JPM,0.737451,4
2,FF,AAPL,0.362840,4
2,FF,IBM,0.363591,4
2,FF,PFE,0.543190,4
2,FF,JNJ,0.373423,4
2,FF,XOM,0.518166,4
2,FF,MRO,0.552948,4
2,FF,ED,0.029072,4
2,FF,T,0.267753,4
2,FF,VZ,0.176358,4
2,FF,NEM,0.016920,4
2,LASSO,F,0.616255,7
2,LASSO,CAT,0.660843,8
2,LASSO,DIS,0.692480,2
2,LASSO,MCD,0.120653,2
2,LASSO,KO,0.192856,2
2,LASSO,PEP,0.176104,3
2,LASSO,WMT,0.048068,5
2,LASSO,C,0.681098,7
2,LASSO,WFC,0.708220,7
2,LASSO,JPM,0.759006,5
2,LASSO,AAPL,0.330725,4
2,LASSO,IBM,0.199649,4
2,LASSO,PFE,0.292767,7
2,LASSO,JNJ,0.274530,4
2,LASSO,XOM,0.323056,6
2,LASSO,MRO,0.513337,4
2,LASSO,ED,-0.011012,2
2,LASSO,T,0.270811,3
2,LASSO,VZ,0.141990,7
2,LASSO,NEM,-0.142737,7
2,BSS,F,0.688171,4
2,BSS,CAT,0.741994,4
2,BSS,DIS,0.731196,4
2,BSS,MCD,0.329825,4
2,BSS,KO,0.392507,4
2,BSS,PEP,0.341168,4
2,BSS,WMT,0.312640,4
2,BSS,C,0.750236,4
2,BSS,WFC,0.764917,4
2,BSS,JPM,0.808766,4
2,BSS,AAPL,0.411241,4
2,BSS,IBM,0.389707,4
2,BSS,PFE,0.551499,4
2,BSS,JNJ,0.417360,4
2,BSS,XOM,0.602100,4
2,BSS,MRO,0.577131,4
2,BSS,ED,0.121820,4
2,BSS,T,0.455551,4
2,BSS,VZ,0.377728,4
2,BSS,NEM,0.065917,4
3,OLS,F,0.503439,9
3,OLS,CAT,0.714420,9
3,OLS,DIS,0.613268,9
3,OLS,MCD,0.111816,9
3,OLS,KO,0.511914,9
3,OLS,PEP,0.331367,9
3,OLS,WMT,0.298959,9
3,OLS,C,0.743996,9
3,OLS,WFC,0.654938,9
3,OLS,JPM,0.722049,9
3,OLS,AAPL,0.284405,9
3,OLS,IBM,0.351441,9
3,OLS,PFE,0.304926,9
3,OLS,JNJ,0.296667,9
3,OLS,XOM,0.609252,9
3,OLS,MRO,0.491140,9
3,OLS,ED,0.389987,9
3,OLS,T,0.373553,9
3,OLS,VZ,0.509843,9
3,OLS,NEM,-0.089294,9
3,FF,F,0.454785,4
3,FF,CAT,0.649133,4
3,FF,DIS,0.573260,4
3,FF,MCD,0.091012,4
3,FF,KO,0.254675,4
3,FF,PEP,0.174068,4
3,FF,WMT,0.138489,4
3,FF,C,0.651678,4
3,FF,WFC,0.631457,4
3,FF,JPM,0.664850,4
3,FF,AAPL,0.165311,4
3,FF,IBM,0.369953,4
3,FF,PFE,0.310390,4
3,FF,JNJ,0.260821,4
3,FF,XOM,0.558118,4
3,FF,MRO,0.495119,4
3,FF,ED,0.123200,4
3,FF,T,0.208887,4
3,FF,VZ,0.201992,4
3,FF,NEM,-0.032031,4
3,LASSO,F,0.432000,4
3,LASSO,CAT,0.641977,6
3,LASSO,DIS,0.494332,7
3,LASSO,MCD,0.009681,2
3,LASSO,KO,0.074446,2
3,LASSO,PEP,-0.037340,8
3,LASSO,WMT,0.071806,2
3,LASSO,C,0.666685,8
3,LASSO,WFC,0.582096,3
3,LASSO,JPM,0.588911,7
3,LASSO,AAPL,0.152485,2
3,LASSO,IBM,0.297198,2
3,LASSO,PFE,0.237197,2
3,LASSO,JNJ,0.168452,2
3,LASSO,XOM,0.465144,3
3,LASSO,MRO,0.504277,3
3,LASSO,ED,-0.000139,1
3,LASSO,T,0.085440,3
3,LASSO,VZ,0.041948,2
3,LASSO,NEM,-0.000025,1
3,BSS,F,0.518000,4
3,BSS,CAT,0.724478,4
3,BSS,DIS,0.645070,4
3,BSS,MCD,0.203551,4
3,BSS,KO,0.482523,4
3,BSS,PEP,0.368245,4
3,BSS,WMT,0.280172,4
3,BSS,C,0.753946,4
3,BSS,WFC,0.679814,4
3,BSS,JPM,0.731415,4
3,BSS,AAPL,0.286208,4
3,BSS,IBM,0.417256,4
3,BSS,PFE,0.358134,4
3,BSS,JNJ,0.364113,4
3,BSS,XOM,0.624601,4
3,BSS,MRO,0.544768,4
3,BSS,ED,0.403417,4
3,BSS,T,0.372206,4
3,BSS,VZ,0.520335,4
3,BSS,NEM,0.013032,4
4,OLS,F,0.407118,9
4,OLS,CAT,0.663002,9
4,OLS,DIS,0.628898,9
4,OLS,MCD,0.164616,9
4,OLS,KO,0.430552,9
4,OLS,PEP,0.258392,9
4,OLS,WMT,0.310265,9
4,OLS,C,0.722262,9
4,OLS,WFC,0.547472,9
4,OLS,JPM,0.695027,9
4,OLS,AAPL,0.275543,9
4,OLS,IBM,0.172430,9
4,OLS,PFE,0.547741,9
4,OLS,JNJ,0.250527,9
4,OLS,XOM,0.564021,9
4,OLS,MRO,0.499382,9
4,OLS,ED,0.296942,9
4,OLS,T,0.300626,9
4,OLS,VZ,0.269582,9
4,OLS,NEM,-0.057109,9
4,FF,F,0.364193,4
4,FF,CAT,0.494997,4
4,FF,DIS,0.557194,4
4,FF,MCD,0.106379,4
4,FF,KO,0.160440,4
4,FF,PEP,0.085008,4
4,FF,WMT,0.075102,4
4,FF,C,0.637381,4
4,FF,WFC,0.553502,4
4,FF,JPM,0.641993,4
4,FF,AAPL,0.225707,4
4,FF,IBM,0.219323,4
4,FF,PFE,0.311837,4
4,FF,JNJ,0.203458,4
4,FF,XOM,0.494971,4
4,FF,MRO,0.482811,4
4,FF,ED,-0.043881,4
4,FF,T,0.031989,4
4,FF,VZ,0.051027,4
4,FF,NEM,-0.053206,4
4,LASSO,F,0.304293,7
4,LASSO,CAT,0.590562,3
4,LASSO,DIS,0.517973,2
4,LASSO,MCD,-0.205208,9
4,LASSO,KO,-0.000110,1
4,LASSO,PEP,-0.172720,8
4,LASSO,WMT,-0.000085,1
4,LASSO,C,0.645517,5
4,LASSO,WFC,0.360166,2
4,LASSO,JPM,0.591309,5
4,LASSO,AAPL,0.064935,2
4,LASSO,IBM,0.063686,2
4,LASSO,PFE,0.060238,8
4,LASSO,JNJ,0.077809,2
4,LASSO,XOM,0.176341,8
4,LASSO,MRO,0.461622,4
4,LASSO,ED,-0.145310,7
4,LASSO,T,-0.170887,8
4,LASSO,VZ,-0.189545,8
4,LASSO,NEM,-0.011882,2
4,BSS,F,0.449737,4
4,BSS,CAT,0.669302,4
4,BSS,DIS,0.661320,4
4,BSS,MCD,0.246312,4
4,BSS,KO,0.450833,4
4,BSS,PEP,0.333249,4
4,BSS,WMT,0.361465,4
4,BSS,C,0.725798,4
4,BSS,WFC,0.587524,4
4,BSS,JPM,0.704176,4
4,BSS,AAPL,0.340959,4
4,BSS,IBM,0.249619,4
4,BSS,PFE,0.593356,4
4,BSS,JNJ,0.294766,4
4,BSS,XOM,0.570219,4
4,BSS,MRO,0.550457,4
4,BSS,ED,0.362999,4
4,BSS,T,0.316579,4
4,BSS,VZ,0.311684,4
4,BSS,NEM,0.033927,4
5,OLS,F,0.192856,9
5,OLS,CAT,0.637912,9
5,OLS,DIS,0.529675,9
5,OLS,MCD,0.373379,9
5,OLS,KO,0.501087,9
5,OLS,PEP,0.415249,9
5,OLS,WMT,0.190405,9
5,OLS,C,0.615553,9
5,OLS,WFC,0.628879,9
5,OLS,JPM,0.655779,9
5,OLS,AAPL,0.442467,9
5,OLS,IBM,0.402953,9
5,OLS,PFE,0.554108,9
5,OLS,JNJ,0.535296,9
5,OLS,XOM,0.659691,9
5,OLS,MRO,0.590922,9
5,OLS,ED,0.254885,9
5,OLS,T,0.223770,9
5,OLS,VZ,0.331539,9
5,OLS,NEM,0.049324,9
5,FF,F,0.244346,4
5,FF,CAT,0.343880,4
5,FF,DIS,0.513197,4
5,FF,MCD,0.387238,4
5,FF,KO,0.374444,4
5,FF,PEP,0.310685,4
5,FF,WMT,-0.031413,4
5,FF,C,0.536104,4
5,FF,WFC,0.632244,4
5,FF,JPM,0.556183,4
5,FF,AAPL,0.253428,4
5,FF,IBM,0.287592,4
5,FF,PFE,0.462648,4
5,FF,JNJ,0.477779,4
5,FF,XOM,0.624925,4
5,FF,MRO,0.497751,4
5,FF,ED,0.006188,4
5,FF,T,0.167670,4
5,FF,VZ,0.208523,4
5,FF,NEM,-0.032033,4
5,LASSO,F,0.207751,3
5,LASSO,CAT,0.563758,3
5,LASSO,DIS,0.445178,2
5,LASSO,MCD,0.156236,2
5,LASSO,KO,0.053184,4
5,LASSO,PEP,0.018259,2
5,LASSO,WMT,-0.000074,1
5,LASSO,C,0.413542,7
5,LASSO,WFC,0.476320,2
5,LASSO,JPM,0.445910,4
5,LASSO,AAPL,0.188473,2
5,LASSO,IBM,0.139020,2
5,LASSO,PFE,0.318068,2
5,LASSO,JNJ,0.296854,2
5,LASSO,XOM,0.366017,3
5,LASSO,MRO,0.488356,8
5,LASSO,ED,0.033612,3
5,LASSO,T,-0.000112,1
5,LASSO,VZ,-0.204862,9
5,LASSO,NEM,0.125965,3
5,BSS,F,0.278789,4
5,BSS,CAT,0.669197,4
5,BSS,DIS,0.565193,4
5,BSS,MCD,0.418290,4
5,BSS,KO,0.520006,4
5,BSS,PEP,0.425106,4
5,BSS,WMT,0.248896,4
5,BSS,C,0.633620,4
5,BSS,WFC,0.665486,4
5,BSS,JPM,0.672639,4
5,BSS,AAPL,0.485204,4
5,BSS,IBM,0.381965,4
5,BSS,PFE,0.591566,4
5,BSS,JNJ,0.574059,4
5,BSS,XOM,0.682266,4
5,BSS,MRO,0.605471,4
5,BSS,ED,0.275189,4
5,BSS,T,0.289524,4
5,BSS,VZ,0.376170,4
5,BSS,NEM,0.148058,4
