period,calibration_start,calibration_end,model,mean_adjusted_r2,mean_selected_coefficients,target_return
1,2008-01-01,2011-12-31,OLS,0.479690,9.00,-0.001278
1,2008-01-01,2011-12-31,FF,0.435810,4.00,-0.001278
1,2008-01-01,2011-12-31,LASSO,0.417400,3.60,-0.001278
1,2008-01-01,2011-12-31,BSS,0.499564,4.00,-0.001278
2,2009-01-01,2012-12-31,OLS,0.476705,9.00,0.011812
2,2009-01-01,2012-12-31,FF,0.398409,4.00,0.011812
2,2009-01-01,2012-12-31,LASSO,0.367055,3.20,0.011812
2,2009-01-01,2012-12-31,BSS,0.481144,4.00,0.011812
3,2010-01-01,2013-12-31,OLS,0.436404,9.00,0.012920
3,2010-01-01,2013-12-31,FF,0.347258,4.00,0.012920
3,2010-01-01,2013-12-31,LASSO,0.287848,2.45,0.012920
3,2010-01-01,2013-12-31,BSS,0.453038,4.00,0.012920
4,2011-01-01,2014-12-31,OLS,0.397364,9.00,0.011878
4,2011-01-01,2014-12-31,FF,0.280011,4.00,0.011878
4,2011-01-01,2014-12-31,LASSO,0.214247,2.20,0.011878
4,2011-01-01,2014-12-31,BSS,0.429810,4.00,0.011878
5,2012-01-01,2015-12-31,OLS,0.439286,9.00,0.011803
5,2012-01-01,2015-12-31,FF,0.341069,4.00,0.011803
5,2012-01-01,2015-12-31,LASSO,0.244940,2.25,0.011803
5,2012-01-01,2015-12-31,BSS,0.466565,4.00,0.011803
