date,model,portfolio_value
2011-12-31,OLS,100000.00
2012-01-31,OLS,98591.48
2012-02-29,OLS,98170.11
2012-03-31,OLS,99661.85
2012-04-30,OLS,99737.95
2012-05-31,OLS,100976.93
2012-06-30,OLS,104703.20
2012-07-31,OLS,108376.14
2012-08-31,OLS,105686.56
2012-09-30,OLS,107137.50
2012-10-31,OLS,106084.18
2012-11-30,OLS,102934.16
2012-12-31,OLS,101717.43
2011-12-31,FF,100000.00
2012-01-31,FF,98413.31
2012-02-29,FF,97871.79
2012-03-31,FF,99187.68
2012-04-30,FF,99127.06
2012-05-31,FF,100259.72
2012-06-30,FF,104200.23
2012-07-31,FF,107846.75
2012-08-31,FF,105374.12
2012-09-30,FF,106628.56
2012-10-31,FF,105870.58
2012-11-30,FF,102984.44
2012-12-31,FF,101677.40
2011-12-31,LASSO,100000.00
2012-01-31,LASSO,98480.14
2012-02-29,LASSO,98330.93
2012-03-31,LASSO,99604.16
2012-04-30,LASSO,99619.85
2012-05-31,LASSO,100029.63
2012-06-30,LASSO,104404.39
2012-07-31,LASSO,107768.75
2012-08-31,LASSO,105519.57
2012-09-30,LASSO,107364.69
2012-10-31,LASSO,106506.52
2012-11-30,LASSO,103854.38
2012-12-31,LASSO,102303.43
2011-12-31,BSS,100000.00
2012-01-31,BSS,98629.04
2012-02-29,BSS,97942.43
2012-03-31,BSS,99225.16
2012-04-30,BSS,99026.48
2012-05-31,BSS,100297.15
2012-06-30,BSS,104085.09
2012-07-31,BSS,107736.84
2012-08-31,BSS,105375.68
2012-09-30,BSS,106590.06
2012-10-31,BSS,105780.64
2012-11-30,BSS,102761.97
2012-12-31,BSS,101632.46
2013-01-31,OLS,106071.81
2013-02-28,OLS,108710.89
2013-03-31,OLS,113859.40
2013-04-30,OLS,115357.86
2013-05-31,OLS,111225.39
2013-06-30,OLS,110679.35
2013-07-31,OLS,113407.58
2013-08-31,OLS,107965.25
2013-09-30,OLS,107819.38
2013-10-31,OLS,111283.84
2013-11-30,OLS,110910.32
2013-12-31,OLS,110776.46
2013-01-31,FF,105959.53
2013-02-28,FF,109167.21
2013-03-31,FF,114088.12
2013-04-30,FF,116981.36
2013-05-31,FF,111514.16
2013-06-30,FF,111909.15
2013-07-31,FF,114097.43
2013-08-31,FF,108766.59
2013-09-30,FF,108557.74
2013-10-31,FF,112961.41
2013-11-30,FF,112341.41
2013-12-31,FF,112188.34
2013-01-31,LASSO,106225.90
2013-02-28,LASSO,109205.98
2013-03-31,LASSO,114298.77
2013-04-30,LASSO,117118.54
2013-05-31,LASSO,112305.81
2013-06-30,LASSO,112411.94
2013-07-31,LASSO,114938.09
2013-08-31,LASSO,109718.14
2013-09-30,LASSO,109572.04
2013-10-31,LASSO,114053.20
2013-11-30,LASSO,114253.63
2013-12-31,LASSO,114210.02
2013-01-31,BSS,105106.91
2013-02-28,BSS,107468.26
2013-03-31,BSS,112603.94
2013-04-30,BSS,114229.63
2013-05-31,BSS,110347.87
2013-06-30,BSS,108915.37
2013-07-31,BSS,111757.31
2013-08-31,BSS,106738.42
2013-09-30,BSS,106658.94
