period,test_year,model,ticker,weight
1,2012,OLS,F,0.00000002
1,2012,OLS,CAT,0.00000002
1,2012,OLS,DIS,0.00000004
1,2012,OLS,MCD,0.17825079
1,2012,OLS,KO,0.03865488
1,2012,OLS,PEP,0.05315771
1,2012,OLS,WMT,0.16721651
1,2012,OLS,C,0.00000001
1,2012,OLS,WFC,0.00000004
1,2012,OLS,JPM,0.00000005
1,2012,OLS,AAPL,0.00000005
1,2012,OLS,IBM,0.04777070
1,2012,OLS,PFE,0.00000029
1,2012,OLS,JNJ,0.10215448
1,2012,OLS,XOM,0.00014176
1,2012,OLS,MRO,0.00000003
1,2012,OLS,ED,0.32225275
1,2012,OLS,T,0.04762661
1,2012,OLS,VZ,0.02245886
1,2012,OLS,NEM,0.02031440
1,2012,FF,F,0.00000001
1,2012,FF,CAT,0.00000002
1,2012,FF,DIS,0.00000004
1,2012,FF,MCD,0.19899953
1,2012,FF,KO,0.03461637
1,2012,FF,PEP,0.08174803
1,2012,FF,WMT,0.16852576
1,2012,FF,C,0.00000001
1,2012,FF,WFC,0.00000003
1,2012,FF,JPM,0.00000004
1,2012,FF,AAPL,0.00000005
1,2012,FF,IBM,0.00117255
1,2012,FF,PFE,0.00000021
1,2012,FF,JNJ,0.10837090
1,2012,FF,XOM,0.03434012
1,2012,FF,MRO,0.00000004
1,2012,FF,ED,0.29796888
1,2012,FF,T,0.03391301
1,2012,FF,VZ,0.02391677
1,2012,FF,NEM,0.01642764
1,2012,LASSO,F,0.00000001
1,2012,LASSO,CAT,0.00000001
1,2012,LASSO,DIS,0.00000003
1,2012,LASSO,MCD,0.17862709
1,2012,LASSO,KO,0.06940062
1,2012,LASSO,PEP,0.07495263
1,2012,LASSO,WMT,0.15539726
1,2012,LASSO,C,0.00000001
1,2012,LASSO,WFC,0.00000004
1,2012,LASSO,JPM,0.00000005
1,2012,LASSO,AAPL,0.00000003
1,2012,LASSO,IBM,0.00011306
1,2012,LASSO,PFE,0.00000334
1,2012,LASSO,JNJ,0.09432878
1,2012,LASSO,XOM,0.09543863
1,2012,LASSO,MRO,0.00000003
1,2012,LASSO,ED,0.23153817
1,2012,LASSO,T,0.02921449
1,2012,LASSO,VZ,0.04218933
1,2012,LASSO,NEM,0.02879638
1,2012,BSS,F,0.00000000
1,2012,BSS,CAT,0.00000000
1,2012,BSS,DIS,0.00000001
1,2012,BSS,MCD,0.20074289
1,2012,BSS,KO,0.01473185
1,2012,BSS,PEP,0.07970207
1,2012,BSS,WMT,0.17162052
1,2012,BSS,C,0.00000000
1,2012,BSS,WFC,0.00000001
1,2012,BSS,JPM,0.00000002
1,2012,BSS,AAPL,0.00000001
1,2012,BSS,IBM,0.01690606
1,2012,BSS,PFE,0.00000014
1,2012,BSS,JNJ,0.13106988
1,2012,BSS,XOM,0.00506843
1,2012,BSS,MRO,0.00000001
1,2012,BSS,ED,0.30612011
1,2012,BSS,T,0.04178651
1,2012,BSS,VZ,0.01236258
1,2012,BSS,NEM,0.01988890
2,2013,OLS,F,0.00000001
2,2013,OLS,CAT,0.00000000
2,2013,OLS,DIS,0.00000001
2,2013,OLS,MCD,0.11990216
2,2013,OLS,KO,0.00000023
2,2013,OLS,PEP,0.17102876
2,2013,OLS,WMT,0.08601553
2,2013,OLS,C,0.00000000
2,2013,OLS,WFC,0.00000000
2,2013,OLS,JPM,0.00000000
2,2013,OLS,AAPL,0.00000002
2,2013,OLS,IBM,0.19362491
2,2013,OLS,PFE,0.00000001
2,2013,OLS,JNJ,0.06108556
2,2013,OLS,XOM,0.00000002
2,2013,OLS,MRO,0.00000001
2,2013,OLS,ED,0.28370612
2,2013,OLS,T,0.02696627
2,2013,OLS,VZ,0.01307489
2,2013,OLS,NEM,0.04459549
2,2013,FF,F,0.00000005
2,2013,FF,CAT,0.00000002
2,2013,FF,DIS,0.00000005
2,2013,FF,MCD,0.12486739
2,2013,FF,KO,0.03232815
2,2013,FF,PEP,0.16531794
2,2013,FF,WMT,0.07759128
2,2013,FF,C,0.00000001
2,2013,FF,WFC,0.00000002
2,2013,FF,JPM,0.00000003
2,2013,FF,AAPL,0.00000128
2,2013,FF,IBM,0.12955739
2,2013,FF,PFE,0.00000009
2,2013,FF,JNJ,0.03306630
2,2013,FF,XOM,0.00000017
2,2013,FF,MRO,0.00000004
2,2013,FF,ED,0.27533880
2,2013,FF,T,0.07245847
2,2013,FF,VZ,0.06054103
2,2013,FF,NEM,0.02893148
2,2013,LASSO,F,0.00000016
2,2013,LASSO,CAT,0.00000010
