dataset,period,rebalance_date,asset,weight
1,1,2007-01-31,F,0.00000000
1,1,2007-01-31,CAT,0.19999991
1,1,2007-01-31,DIS,0.00000000
1,1,2007-01-31,MCD,0.00000000
1,1,2007-01-31,KO,0.00000000
1,1,2007-01-31,PEP,0.00000000
1,1,2007-01-31,WMT,0.00000000
1,1,2007-01-31,C,0.00000000
1,1,2007-01-31,WFC,0.00000050
1,1,2007-01-31,JPM,0.00000000
1,1,2007-01-31,AAPL,0.19999991
1,1,2007-01-31,IBM,0.00000000
1,1,2007-01-31,PFE,0.00000000
1,1,2007-01-31,JNJ,0.00000000
1,1,2007-01-31,XOM,0.19999990
1,1,2007-01-31,MRO,0.19999990
1,1,2007-01-31,ED,0.00000000
1,1,2007-01-31,T,0.00000000
1,1,2007-01-31,VZ,0.00000000
1,1,2007-01-31,NEM,0.19999988
1,2,2007-07-31,F,0.00000000
1,2,2007-07-31,CAT,0.20868908
1,2,2007-07-31,DIS,0.03453789
1,2,2007-07-31,MCD,0.04546211
1,2,2007-07-31,KO,0.00000000
1,2,2007-07-31,PEP,0.00000000
1,2,2007-07-31,WMT,0.00000000
1,2,2007-07-31,C,0.00000000
1,2,2007-07-31,WFC,0.00000025
1,2,2007-07-31,JPM,0.00000000
1,2,2007-07-31,AAPL,0.22364490
1,2,2007-07-31,IBM,0.00000000
1,2,2007-07-31,PFE,0.00000000
1,2,2007-07-31,JNJ,0.00000000
1,2,2007-07-31,XOM,0.19025871
1,2,2007-07-31,MRO,0.21060277
1,2,2007-07-31,ED,0.00000000
1,2,2007-07-31,T,0.00000000
1,2,2007-07-31,VZ,0.00000000
1,2,2007-07-31,NEM,0.08680429
1,3,2008-01-31,F,0.00000000
1,3,2008-01-31,CAT,0.17885451
1,3,2008-01-31,DIS,0.01672347
1,3,2008-01-31,MCD,0.10743596
1,3,2008-01-31,KO,0.00000000
1,3,2008-01-31,PEP,0.00000068
1,3,2008-01-31,WMT,0.00000000
1,3,2008-01-31,C,0.00000000
1,3,2008-01-31,WFC,0.00000011
1,3,2008-01-31,JPM,0.00000000
1,3,2008-01-31,AAPL,0.26392511
1,3,2008-01-31,IBM,0.00000000
1,3,2008-01-31,PFE,0.00000000
1,3,2008-01-31,JNJ,0.00000000
1,3,2008-01-31,XOM,0.18856175
1,3,2008-01-31,MRO,0.18927361
1,3,2008-01-31,ED,0.00000000
1,3,2008-01-31,T,0.00000000
1,3,2008-01-31,VZ,0.00000000
1,3,2008-01-31,NEM,0.05522479
1,4,2008-07-31,F,0.00000000
1,4,2008-07-31,CAT,0.19886922
1,4,2008-07-31,DIS,0.01045105
1,4,2008-07-31,MCD,0.14717874
1,4,2008-07-31,KO,0.00000000
1,4,2008-07-31,PEP,0.00000037
1,4,2008-07-31,WMT,0.00000000
1,4,2008-07-31,C,0.00000000
1,4,2008-07-31,WFC,0.00000006
1,4,2008-07-31,JPM,0.00000000
1,4,2008-07-31,AAPL,0.22424861
1,4,2008-07-31,IBM,0.00000000
1,4,2008-07-31,PFE,0.00000000
1,4,2008-07-31,JNJ,0.00000000
1,4,2008-07-31,XOM,0.19569116
1,4,2008-07-31,MRO,0.18526348
1,4,2008-07-31,ED,0.00000000
1,4,2008-07-31,T,0.00000000
1,4,2008-07-31,VZ,0.00000000
1,4,2008-07-31,NEM,0.03829732
1,5,2009-01-31,F,0.00000000
1,5,2009-01-31,CAT,0.10217438
1,5,2009-01-31,DIS,0.00645011
1,5,2009-01-31,MCD,0.21807267
1,5,2009-01-31,KO,0.00000000
1,5,2009-01-31,PEP,0.00000027
1,5,2009-01-31,WMT,0.00000000
1,5,2009-01-31,C,0.00000000
1,5,2009-01-31,WFC,0.00000006
1,5,2009-01-31,JPM,0.00000000
1,5,2009-01-31,AAPL,0.17554122
1,5,2009-01-31,IBM,0.00000000
1,5,2009-01-31,PFE,0.00000000
1,5,2009-01-31,JNJ,0.00000000
1,5,2009-01-31,XOM,0.22972351
1,5,2009-01-31,MRO,0.16291500
1,5,2009-01-31,ED,0.00000000
1,5,2009-01-31,T,0.08000000
1,5,2009-01-31,VZ,0.00000000
1,5,2009-01-31,NEM,0.02512278
1,6,2009-07-31,F,0.00000000
1,6,2009-07-31,CAT,0.04357172
1,6,2009-07-31,DIS,0.00373541
1,6,2009-07-31,MCD,0.19558312
1,6,2009-07-31,KO,0.00000000
1,6,2009-07-31,PEP,0.00000016
1,6,2009-07-31,WMT,0.00000000
1,6,2009-07-31,C,0.00000000
1,6,2009-07-31,WFC,0.04477369
1,6,2009-07-31,JPM,0.00000000
1,6,2009-07-31,AAPL,0.24499415
1,6,2009-07-31,IBM,0.00000000
1,6,2009-07-31,PFE,0.00000000
1,6,2009-07-31,JNJ,0.00000000
1,6,2009-07-31,XOM,0.19456509
1,6,2009-07-31,MRO,0.18276939
1,6,2009-07-31,ED,0.00000000
1,6,2009-07-31,T,0.04050443
1,6,2009-07-31,VZ,0.00000000
1,6,2009-07-31,NEM,0.04950285
1,7,2010-01-31,F,0.04666496
1,7,2010-01-31,CAT,0.05617754
1,7,2010-01-31,DIS,0.00261171
1,7,2010-01-31,MCD,0.18812814
1,7,2010-01-31,KO,0.08000000
1,7,2010-01-31,PEP,0.00000009
1,7,2010-01-31,WMT,0.00000000
1,7,2010-01-31,C,0.00000000
1,7,2010-01-31,WFC,0.02500689
1,7,2010-01-31,JPM,0.00000000
1,7,2010-01-31,AAPL,0.26131192
1,7,2010-01-31,IBM,0.00000000
1,7,2010-01-31,PFE,0.00000000
1,7,2010-01-31,JNJ,0.00000000
1,7,2010-01-31,XOM,0.11154721
1,7,2010-01-31,MRO,0.17614627
1,7,2010-01-31,ED,0.00000000
1,7,2010-01-31,T,0.02362454
1,7,2010-01-31,VZ,0.00000000
1,7,2010-01-31,NEM,0.02878071
1,8,2010-07-31,F,0.10687293
1,8,2010-07-31,CAT,0.03427696
1,8,2010-07-31,DIS,0.00145737
1,8,2010-07-31,MCD,0.19528602
1,8,2010-07-31,KO,0.04086245
1,8,2010-07-31,PEP,0.00000005
1,8,2010-07-31,WMT,0.00000000
1,8,2010-07-31,C,0.00000000
1,8,2010-07-31,WFC,0.01359552
1,8,2010-07-31,JPM,0.00000000
1,8,2010-07-31,AAPL,0.25818953
1,8,2010-07-31,IBM,0.08000000
1,8,2010-07-31,PFE,0.00000000
1,8,2010-07-31,JNJ,0.00000000
1,8,2010-07-31,XOM,0.05404920
1,8,2010-07-31,MRO,0.10185308
1,8,2010-07-31,ED,0.00000000
1,8,2010-07-31,T,0.01201850
1,8,2010-07-31,VZ,0.00000000
1,8,2010-07-31,NEM,0.10153840
1,9,2011-01-31,F,0.16391082
1,9,2011-01-31,CAT,0.10550661
1,9,2011-01-31,DIS,0.00082693
1,9,2011-01-31,MCD,0.18892359
1,9,2011-01-31,KO,0.02564401
1,9,2011-01-31,PEP,0.00000003
1,9,2011-01-31,WMT,0.00000000
1,9,2011-01-31,C,0.00000000
1,9,2011-01-31,WFC,0.00778635
1,9,2011-01-31,JPM,0.00000000
1,9,2011-01-31,AAPL,0.23607000
1,9,2011-01-31,IBM,0.12524265
1,9,2011-01-31,PFE,0.00000000
1,9,2011-01-31,JNJ,0.00000000
1,9,2011-01-31,XOM,0.03308473
1,9,2011-01-31,MRO,0.05805035
1,9,2011-01-31,ED,0.00000000
1,9,2011-01-31,T,0.00710209
1,9,2011-01-31,VZ,0.00000000
1,9,2011-01-31,NEM,0.04785184
1,10,2011-07-31,F,0.15584136
1,10,2011-07-31,CAT,0.10834848
1,10,2011-07-31,DIS,0.00048486
1,10,2011-07-31,MCD,0.19875305
1,10,2011-07-31,KO,0.05479265
1,10,2011-07-31,PEP,0.00000002
1,10,2011-07-31,WMT,0.00000000
1,10,2011-07-31,C,0.00000000
1,10,2011-07-31,WFC,0.00400330
1,10,2011-07-31,JPM,0.00000000
1,10,2011-07-31,AAPL,0.21839734
1,10,2011-07-31,IBM,0.16316513
1,10,2011-07-31,PFE,0.00000000
1,10,2011-07-31,JNJ,0.00000000
1,10,2011-07-31,XOM,0.02097489
1,10,2011-07-31,MRO,0.04699410
1,10,2011-07-31,ED,0.00000000
1,10,2011-07-31,T,0.00440183
1,10,2011-07-31,VZ,0.00000000
1,10,2011-07-31,NEM,0.02384300
1,11,2012-01-31,F,0.14929324
1,11,2012-01-31,CAT,0.11887664
1,11,2012-01-31,DIS,0.00026993
1,11,2012-01-31,MCD,0.21668578
1,11,2012-01-31,KO,0.03292006
1,11,2012-01-31,PEP,0.00000001
1,11,2012-01-31,WMT,0.00000000
1,11,2012-01-31,C,0.00000000
1,11,2012-01-31,WFC,0.00226114
1,11,2012-01-31,JPM,0.00000000
1,11,2012-01-31,AAPL,0.23015852
1,11,2012-01-31,IBM,0.18051305
1,11,2012-01-31,PFE,0.00000000
1,11,2012-01-31,JNJ,0.00000000
1,11,2012-01-31,XOM,0.01260883
1,11,2012-01-31,MRO,0.02449073
1,11,2012-01-31,ED,0.00940452
1,11,2012-01-31,T,0.00248538
1,11,2012-01-31,VZ,0.00000000
1,11,2012-01-31,NEM,0.02003217
1,12,2012-07-31,F,0.15524376
1,12,2012-07-31,CAT,0.06301215
1,12,2012-07-31,DIS,0.00019574
1,12,2012-07-31,MCD,0.18880382
1,12,2012-07-31,KO,0.02091825
1,12,2012-07-31,PEP,0.00000001
1,12,2012-07-31,WMT,0.00000000
1,12,2012-07-31,C,0.00000000
1,12,2012-07-31,WFC,0.00155926
1,12,2012-07-31,JPM,0.00000000
1,12,2012-07-31,AAPL,0.26608583
1,12,2012-07-31,IBM,0.18852759
1,12,2012-07-31,PFE,0.00000000
1,12,2012-07-31,JNJ,0.00000000
1,12,2012-07-31,XOM,0.00722600
1,12,2012-07-31,MRO,0.01213844
1,12,2012-07-31,ED,0.08539668
1,12,2012-07-31,T,0.00169139
1,12,2012-07-31,VZ,0.00000000
1,12,2012-07-31,NEM,0.00920108
1,13,2013-01-31,F,0.20289572
1,13,2013-01-31,CAT,0.06602478
1,13,2013-01-31,DIS,0.00011843
1,13,2013-01-31,MCD,0.19103883
1,13,2013-01-31,KO,0.01141204
1,13,2013-01-31,PEP,0.00000000
1,13,2013-01-31,WMT,0.05327876
1,13,2013-01-31,C,0.00000000
1,13,2013-01-31,WFC,0.00093736
1,13,2013-01-31,JPM,0.00000000
1,13,2013-01-31,AAPL,0.22201785
1,13,2013-01-31,IBM,0.18811446
1,13,2013-01-31,PFE,0.00000000
1,13,2013-01-31,JNJ,0.00000000
1,13,2013-01-31,XOM,0.00429747
1,13,2013-01-31,MRO,0.00854735
1,13,2013-01-31,ED,0.04517728
1,13,2013-01-31,T,0.00095054
1,13,2013-01-31,VZ,0.00000000
1,13,2013-01-31,NEM,0.00518911
1,14,2013-07-31,F,0.22440571
1,14,2013-07-31,CAT,0.03591482
1,14,2013-07-31,DIS,0.06426742
1,14,2013-07-31,MCD,0.13659085
1,14,2013-07-31,KO,0.00751909
1,14,2013-07-31,PEP,0.00000000
1,14,2013-07-31,WMT,0.03457645
1,14,2013-07-31,C,0.00000000
1,14,2013-07-31,WFC,0.08067446
1,14,2013-07-31,JPM,0.00000000
1,14,2013-07-31,AAPL,0.17832625
1,14,2013-07-31,IBM,0.11116871
1,14,2013-07-31,PFE,0.00000000
1,14,2013-07-31,JNJ,0.00000000
1,14,2013-07-31,XOM,0.00266921
1,14,2013-07-31,MRO,0.00571489
1,14,2013-07-31,ED,0.09125224
1,14,2013-07-31,T,0.00060083
1,14,2013-07-31,VZ,0.02431230
1,14,2013-07-31,NEM,0.00200676
1,15,2014-01-31,F,0.20289754
1,15,2014-01-31,CAT,0.08381472
1,15,2014-01-31,DIS,0.12271821
1,15,2014-01-31,MCD,0.07385567
1,15,2014-01-31,KO,0.00426291
1,15,2014-01-31,PEP,0.00000000
1,15,2014-01-31,WMT,0.02006044
1,15,2014-01-31,C,0.00000000
1,15,2014-01-31,WFC,0.04884142
1,15,2014-01-31,JPM,0.00000000
1,15,2014-01-31,AAPL,0.21863976
1,15,2014-01-31,IBM,0.12476711
1,15,2014-01-31,PFE,0.00000000
1,15,2014-01-31,JNJ,0.00000000
1,15,2014-01-31,XOM,0.00164504
1,15,2014-01-31,MRO,0.03620704
1,15,2014-01-31,ED,0.04794693
1,15,2014-01-31,T,0.00033242
1,15,2014-01-31,VZ,0.01315946
1,15,2014-01-31,NEM,0.00085133
1,16,2014-07-31,F,0.20382290
1,16,2014-07-31,CAT,0.13458894
1,16,2014-07-31,DIS,0.15403898
1,16,2014-07-31,MCD,0.04190666
1,16,2014-07-31,KO,0.00238651
1,16,2014-07-31,PEP,0.00000000
1,16,2014-07-31,WMT,0.01041839
1,16,2014-07-31,C,0.00000000
1,16,2014-07-31,WFC,0.03082136
1,16,2014-07-31,JPM,0.00000000
1,16,2014-07-31,AAPL,0.21786890
1,16,2014-07-31,IBM,0.06555354
1,16,2014-07-31,PFE,0.00000004
1,16,2014-07-31,JNJ,0.00000005
1,16,2014-07-31,XOM,0.00089200
1,16,2014-07-31,MRO,0.10225647
1,16,2014-07-31,ED,0.02755190
1,16,2014-07-31,T,0.00018452
1,16,2014-07-31,VZ,0.00719960
1,16,2014-07-31,NEM,0.00050925
1,17,2015-01-31,F,0.11250911
1,17,2015-01-31,CAT,0.09391582
1,17,2015-01-31,DIS,0.18351861
1,17,2015-01-31,MCD,0.02396172
1,17,2015-01-31,KO,0.00145750
1,17,2015-01-31,PEP,0.00000000
1,17,2015-01-31,WMT,0.00728838
1,17,2015-01-31,C,0.00000000
1,17,2015-01-31,WFC,0.09968560
1,17,2015-01-31,JPM,0.00000000
1,17,2015-01-31,AAPL,0.23780305
1,17,2015-01-31,IBM,0.03550175
1,17,2015-01-31,PFE,0.08000003
1,17,2015-01-31,JNJ,0.00000003
1,17,2015-01-31,XOM,0.00050188
1,17,2015-01-31,MRO,0.04430811
1,17,2015-01-31,ED,0.01943481
1,17,2015-01-31,T,0.00010867
1,17,2015-01-31,VZ,0.05977585
1,17,2015-01-31,NEM,0.00022909
1,18,2015-07-31,F,0.06193358
1,18,2015-07-31,CAT,0.04931895
1,18,2015-07-31,DIS,0.20395763
1,18,2015-07-31,MCD,0.01378749
1,18,2015-07-31,KO,0.00076727
1,18,2015-07-31,PEP,0.00000000
1,18,2015-07-31,WMT,0.00339696
1,18,2015-07-31,C,0.00000000
1,18,2015-07-31,WFC,0.13777116
1,18,2015-07-31,JPM,0.00000000
1,18,2015-07-31,AAPL,0.23183396
1,18,2015-07-31,IBM,0.02035743
1,18,2015-07-31,PFE,0.12882252
1,18,2015-07-31,JNJ,0.00000002
1,18,2015-07-31,XOM,0.00025579
1,18,2015-07-31,MRO,0.02351104
1,18,2015-07-31,ED,0.00969734
1,18,2015-07-31,T,0.00006590
1,18,2015-07-31,VZ,0.11436480
1,18,2015-07-31,NEM,0.00015817
1,19,2016-01-31,F,0.03847845
1,19,2016-01-31,CAT,0.02615801
1,19,2016-01-31,DIS,0.20332435
1,19,2016-01-31,MCD,0.01130308
1,19,2016-01-31,KO,0.00055413
1,19,2016-01-31,PEP,0.00000000
1,19,2016-01-31,WMT,0.00193378
1,19,2016-01-31,C,0.00000000
1,19,2016-01-31,WFC,0.16756913
1,19,2016-01-31,JPM,0.00653687
1,19,2016-01-31,AAPL,0.20736384
1,19,2016-01-31,IBM,0.01137508
1,19,2016-01-31,PFE,0.16176921
1,19,2016-01-31,JNJ,0.07346314
1,19,2016-01-31,XOM,0.00015837
1,19,2016-01-31,MRO,0.00734516
1,19,2016-01-31,ED,0.00712837
1,19,2016-01-31,T,0.00004258
1,19,2016-01-31,VZ,0.07541719
1,19,2016-01-31,NEM,0.00007927
1,20,2016-07-31,F,0.02138082
1,20,2016-07-31,CAT,0.01778608
1,20,2016-07-31,DIS,0.19280254
1,20,2016-07-31,MCD,0.00696465
1,20,2016-07-31,KO,0.00035388
1,20,2016-07-31,PEP,0.00000000
1,20,2016-07-31,WMT,0.00139339
1,20,2016-07-31,C,0.00000000
1,20,2016-07-31,WFC,0.08831614
1,20,2016-07-31,JPM,0.00527570
1,20,2016-07-31,AAPL,0.19353450
1,20,2016-07-31,IBM,0.00762503
1,20,2016-07-31,PFE,0.18718422
1,20,2016-07-31,JNJ,0.13244290
1,20,2016-07-31,XOM,0.00011550
1,20,2016-07-31,MRO,0.00527428
1,20,2016-07-31,ED,0.01112744
1,20,2016-07-31,T,0.00003272
1,20,2016-07-31,VZ,0.12828731
1,20,2016-07-31,NEM,0.00010290
2,1,1997-01-31,Asset_1,0.00000000
2,1,1997-01-31,Asset_2,0.00000000
2,1,1997-01-31,Asset_3,0.00000000
2,1,1997-01-31,Asset_4,0.00000000
2,1,1997-01-31,Asset_5,0.00000000
2,1,1997-01-31,Asset_6,0.00000000
2,1,1997-01-31,Asset_7,0.00000000
2,1,1997-01-31,Asset_8,0.00000000
2,1,1997-01-31,Asset_9,0.00000000
2,1,1997-01-31,Asset_10,0.00000000
2,1,1997-01-31,Asset_11,0.00000000
2,1,1997-01-31,Asset_12,0.00000000
2,1,1997-01-31,Asset_13,0.00000000
2,1,1997-01-31,Asset_14,0.20000000
2,1,1997-01-31,Asset_15,0.18784006
2,1,1997-01-31,Asset_16,0.20000000
2,1,1997-01-31,Asset_17,0.00000000
2,1,1997-01-31,Asset_18,0.00000000
2,1,1997-01-31,Asset_19,0.00000000
2,1,1997-01-31,Asset_20,0.00000000
2,1,1997-01-31,Asset_21,0.00000000
2,1,1997-01-31,Asset_22,0.01215994
2,1,1997-01-31,Asset_23,0.20000000
2,1,1997-01-31,Asset_24,0.00000000
2,1,1997-01-31,Asset_25,0.00000000
2,1,1997-01-31,Asset_26,0.00000000
2,1,1997-01-31,Asset_27,0.00000000
2,1,1997-01-31,Asset_28,0.00000000
2,1,1997-01-31,Asset_29,0.20000000
2,1,1997-01-31,Asset_30,0.00000000
2,2,1997-07-31,Asset_1,0.00000000
2,2,1997-07-31,Asset_2,0.00000000
2,2,1997-07-31,Asset_3,0.00000003
2,2,1997-07-31,Asset_4,0.00000005
2,2,1997-07-31,Asset_5,0.00000002
2,2,1997-07-31,Asset_6,0.00000008
2,2,1997-07-31,Asset_7,0.00000005
2,2,1997-07-31,Asset_8,0.00000005
2,2,1997-07-31,Asset_9,0.00000002
2,2,1997-07-31,Asset_10,0.00000000
2,2,1997-07-31,Asset_11,0.00000000
2,2,1997-07-31,Asset_12,0.00000002
2,2,1997-07-31,Asset_13,0.00000005
2,2,1997-07-31,Asset_14,0.21074333
2,2,1997-07-31,Asset_15,0.10686188
2,2,1997-07-31,Asset_16,0.19372944
2,2,1997-07-31,Asset_17,0.00000000
2,2,1997-07-31,Asset_18,0.00000006
2,2,1997-07-31,Asset_19,0.00000001
2,2,1997-07-31,Asset_20,0.00000000
2,2,1997-07-31,Asset_21,0.00000000
2,2,1997-07-31,Asset_22,0.08734775
2,2,1997-07-31,Asset_23,0.19549419
2,2,1997-07-31,Asset_24,0.00000001
2,2,1997-07-31,Asset_25,0.00000003
2,2,1997-07-31,Asset_26,0.00000004
2,2,1997-07-31,Asset_27,0.00000003
2,2,1997-07-31,Asset_28,0.00000004
2,2,1997-07-31,Asset_29,0.20582278
2,2,1997-07-31,Asset_30,0.00000004
2,3,1998-01-31,Asset_1,0.00000000
2,3,1998-01-31,Asset_2,0.00000001
2,3,1998-01-31,Asset_3,0.00000002
2,3,1998-01-31,Asset_4,0.00000003
2,3,1998-01-31,Asset_5,0.00000001
